Affective analysis results:

Timeframe,Emotion,Frequency
2016_5_25_12-14,rejection,0
2016_5_25_12-14,sadness,42
2016_5_25_12-14,shame,0
2016_5_25_12-14,surprise,0
2016_5_25_14-16,neutral,17459
2016_5_25_14-16,anger,482
2016_5_25_14-16,anxiety,42
2016_5_25_14-16,calm,4
2016_5_25_14-16,disgust,0
2016_5_25_14-16,enthusia,6060
2016_5_25_14-16,fear,0
2016_5_25_14-16,interest,39
2016_5_25_14-16,joy,390
2016_5_25_14-16,nervous,0
2016_5_25_14-16,rejection,0
2016_5_25_14-16,sadness,61
2016_5_25_14-16,shame,0
2016_5_25_14-16,surprise,0
2016_5_25_16-18,neutral,25017
2016_5_25_16-18,anger,836
2016_5_25_16-18,anxiety,84
2016_5_25_16-18,calm,1
2016_5_25_16-18,disgust,0
2016_5_25_16-18,enthusia,7340
2016_5_25_16-18,fear,0
2016_5_25_16-18,interest,44
2016_5_25_16-18,joy,584
2016_5_25_16-18,nervous,0
2016_5_25_16-18,rejection,0
2016_5_25_16-18,sadness,82
2016_5_25_16-18,shame,0
2016_5_25_16-18,surprise,0
2016_5_25_18-20,neutral,26345
2016_5_25_18-20,anger,818
2016_5_25_18-20,anxiety,96
2016_5_25_18-20,calm,0
2016_5_25_18-20,disgust,0
2016_5_25_18-20,enthusia,6801
2016_5_25_18-20,fear,0
2016_5_25_18-20,interest,76
2016_5_25_18-20,joy,615
2016_5_25_18-20,nervous,0
2016_5_25_18-20,rejection,0
2016_5_25_18-20,sadness,74
2016_5_25_18-20,shame,0
2016_5_25_18-20,surprise,0
2016_5_25_20-22,neutral,32506
2016_5_25_20-22,anger,818
2016_5_25_20-22,anxiety,81
2016_5_25_20-22,calm,4
2016_5_25_20-22,disgust,0
2016_5_25_20-22,enthusia,7459
2016_5_25_20-22,fear,0
2016_5_25_20-22,interest,58
2016_5_25_20-22,joy,628
2016_5_25_20-22,nervous,0
2016_5_25_20-22,rejection,0
2016_5_25_20-22,sadness,76
2016_5_25_20-22,shame,0
2016_5_25_20-22,surprise,0
2016_5_25_22-0,neutral,29687
2016_5_25_22-0,anger,759
2016_5_25_22-0,anxiety,66
2016_5_25_22-0,calm,2
2016_5_25_22-0,disgust,0
2016_5_25_22-0,enthusia,7662
2016_5_25_22-0,fear,0
2016_5_25_22-0,interest,52
2016_5_25_22-0,joy,2293
2016_5_25_22-0,nervous,0
2016_5_25_22-0,rejection,0
2016_5_25_22-0,sadness,49
2016_5_25_22-0,shame,0
2016_5_25_22-0,surprise,0
2016_5_26_0-2,neutral,30523
2016_5_26_0-2,anger,862
2016_5_26_0-2,anxiety,132
2016_5_26_0-2,calm,2
2016_5_26_0-2,disgust,0
2016_5_26_0-2,enthusia,8063
2016_5_26_0-2,fear,0
2016_5_26_0-2,interest,62
2016_5_26_0-2,joy,2704
2016_5_26_0-2,nervous,0
2016_5_26_0-2,rejection,0
2016_5_26_0-2,sadness,97
2016_5_26_0-2,shame,0
2016_5_26_0-2,surprise,0
2016_5_26_2-4,neutral,32437
2016_5_26_2-4,anger,764
2016_5_26_2-4,anxiety,77
2016_5_26_2-4,calm,2
2016_5_26_2-4,disgust,0
2016_5_26_2-4,enthusia,8216
2016_5_26_2-4,fear,0
2016_5_26_2-4,interest,43
2016_5_26_2-4,joy,2397
2016_5_26_2-4,nervous,0
2016_5_26_2-4,rejection,0
2016_5_26_2-4,sadness,125
2016_5_26_2-4,shame,0
2016_5_26_2-4,surprise,0
2016_5_26_4-6,neutral,30507
2016_5_26_4-6,anger,713
2016_5_26_4-6,anxiety,71
2016_5_26_4-6,calm,0
2016_5_26_4-6,disgust,0
2016_5_26_4-6,enthusia,8410
2016_5_26_4-6,fear,0
